priority_rank,project_code,project_name,agency,state,physical_progress,expenditure_percent,cost_overrun_percent,time_overrun_percent,risk_score,risk_category,warnings,risk_explanation
85,617934,Nasratpur to Barasgaon section of NH-61 2L / 4L PS from Km.514/00 to 558/200,MoRTH,Maharashtra,95.84,129.9355536970532,29.935553697053173,345.3821917808221,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 617934 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
86,400141,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,National Aluminium Company Limited [NALCO],Odisha,95.64,122.43456007799172,41.87941993663196,63.18840579710143,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400141 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
87,619120,Nidagatta-Mysore Pkg II,NHAI,Karnataka,99.19,127.2635111993972,42.69011576135372,170.84008762322063,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 619120 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
88,619064,Vadodara Mumbai Expressway Talsari to Karvad Phase IB - Pkg X [Km 103.400 to Km 128.000],NHAI,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",36.23,57.45913056227548,24.651465644537907,187.4623803009573,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 619064 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
89,618840,Simaria Km. 206.050 to Khagaria Km. 266.282,NHAI,Bihar,97.73,122.61980060841542,33.2164392638775,299.197368421053,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618840 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
90,400259,Ghatampur Thermal Power Plant 3 X 660 MW,NLC India Limited [NLCIL],Uttar Pradesh,95.68,123.20319298286324,28.833655686920476,128.75144880875746,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400259 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
91,400416,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],Ministry of Coal,Jharkhand,72.0,99.17372363361561,39.78276766464391,59.56078083407264,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400416 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
92,618706,Bangalore-Nidagatta Pkg. I,NHAI,Karnataka,99.19,123.43242725278245,23.43242725278245,192.25355191256847,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618706 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
93,618298,Widening/Improvement of existing 2-Lane road to 4-Lane Divided Highway from Sekmai to Nilakuthi section of Imphal-Kohima Road Design Chainage from Km 297700 to Km 308729 of NH-39 New NH-02 in state of Manipur on EPC mode Pkg-5B,NHIDCL,Manipur,94.71,128.62541332073693,28.625413320736904,240.0455373406189,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618298 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
94,602525,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",National Hydroelectric Power Corporation Limited [NHPC],Jammu and Kashmir,82.05,114.81018525366984,45.29748943556065,304.3974683544307,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602525 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
95,705494,Rayadurg-Tumkur via Kalyandurg 213 km,CAOC/SWR SWR mor,"Multi-States (Andhra Pradesh, Karnataka)",65.0,76.38741987179488,64.77814102564102,264.23251643753736,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 705494 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
96,618692,Aligarh-Kanpur Pkg I [Aligarh-Bhadwas],NHAI,Uttar Pradesh,100.0,110.80186525794038,55.25065218809122,124.6546052631581,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618692 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
97,618330,Construction of 4/6 Laning from existing Km 159.400 of NH-36 to existing Km 102.500 of NH-39 and upto end point of Assam portion [Design Km 118.050 to design Km 132.375] Total New Alignment length of 14.325 Km of Daboka -Dimapur Section Dimapur Bypass in the state of Assam under SARDP-NE 'Phase-A' on EPC mode Assam Portion,NHIDCL,Assam,100.0,126.65062032797152,26.65062032797152,116.51459854014598,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618330 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
98,705434,New Railway Line between Ginigera and Raichur [165.57 km],South Western Railway [SWR] - II,Karnataka,71.0,94.03937621832358,30.492265107212457,81.08298524088009,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705434 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
99,705444,Gevra Road-Pendra Road New Railway Line [135 km],Indian Railway Construction International Limited [IRCON],Chhattisgarh,83.36,107.19416498993964,43.47023943661984,60.53303355240372,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705444 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
100,618652,Chakur Loha Section of NH-361 from km 114.600 to km 187.80,National Highways Authority of India [NHAI],Maharashtra,100.0,63.246548196362106,97.71124071597708,258.139534883721,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618652 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
101,602579,Buxar Thermal Power Project [1320 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Bihar,95.01,131.541829795509,31.541829795508995,54.44776119402985,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602579 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
102,618429,Construction & upgradation of existing road to 2-lane with paved shoulder including geometric improvement of sect. from Pedong bypass to Reshi Border km 79.700 to km 96.254 of NH-717A under SARDP-NE-A on EPC as part of Alternate connectivity to Gangtok Lava More-Reshi Border Pkg-VB,NHIDCL,West Bengal,97.22,121.23747756094735,21.23747756094737,286.778793418647,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618429 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
103,705782,Barabanki-Malhaur - 3rd & 4th Line 32.84 km,CAO/C-II/NR NR mor,Uttar Pradesh,77.0,109.11793611793613,20.084815724815616,57.84093319194052,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705782 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
104,618406,Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH- 144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,NHIDCL,Jammu and Kashmir,92.5,123.47359608049861,23.473596080498616,268.2694938440493,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618406 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
105,611917,Poly Butadiene Rubber plant at Panipat,Indian Oil Corporation Limited [IOCL],Haryana,90.1,106.93899931459904,60.45766278272795,55.997262773722326,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 611917 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
106,619137,4L of Dwarka-Khambaliya-Devariya section from km 203.500 to km 176.500 and from km 171.800 to km 125.000 of NH-151A,National Highways Authority of India [NHAI],Gujarat,100.0,86.08457191931218,52.83534532395166,146.82017543859652,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 619137 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
107,618569,Balance work - WB-10 Gandak Bridge Km 402.00 to Km 440.00 Devanpur - Kotwa,NHAI,Bihar,64.05,86.62699357295882,48.146536538919165,207.93806921675767,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618569 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
108,400115,Bargi Diversion Project Phase - IV [km. 154 to km 197],Water Resources-MP,Madhya Pradesh,75.0,108.38714831631226,21.14528048147209,60.31108881083799,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400115 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
109,619097,Thalassery Mahe Bypass Km 170.600 to Km 189.200 of NH-17New NH-66 in Kerala,NHAI,"Multi-States (Kerala, Puducherry)",100.0,129.93853291790845,47.879885193714216,257.6802721088431,80,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 619097 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
110,706966,Establishment of new GMC Samastipur,"Medical Education, Ministry of Health and Family Welfare",Bihar,0.0,60.0,6.38661375661375,151680.55190538763,75,CRITICAL,"['Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.']",Project 706966 is classified as CRITICAL risk because the projected completion date exceeds the planned schedule and expenditure is high relative to the physical progress achieved.
111,400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],Central Railway,Maharashtra,38.0,113.71052845198474,94.02244500365298,18.65373134328344,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 400019 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
112,705777,Bhandai - Flyover for Etawah bound down trains 10 km,CAO/C/NCR NCR mor,Uttar Pradesh,11.0,58.697737628907184,9.089375649532403,606.419354838709,75,CRITICAL,"['Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.']",Project 705777 is classified as CRITICAL risk because the projected completion date exceeds the planned schedule and expenditure is high relative to the physical progress achieved.
113,619200,Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar- Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH- 354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity],NHAI,Punjab,33.85,83.09425917466119,17.924556113902984,153.27000000000018,75,CRITICAL,"['Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.']",Project 619200 is classified as CRITICAL risk because the projected completion date exceeds the planned schedule and expenditure is high relative to the physical progress achieved.
114,705660,Doubling of Katni - Singrauli Railway Line [261 km],Indian Railway Construction International Limited [IRCON],Madhya Pradesh,81.25,137.76932515337424,71.2928016359918,5.692837034720061,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705660 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
115,705730,Joka-BBD Bag new metro project,RVNL - II,West Bengal,51.0,105.45460186142708,95.989367114788,19.25328515111705,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705730 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
116,707049,Establishment of new GMC Panchmahal,"Medical Education, Ministry of Health and Family Welfare",Gujarat,88.0,143.79692307692306,89.76313846153839,9.553641346906817,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 707049 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
117,705526,Samastipur-Darbhanga 38 km,CAO/Con/North/MHX ECR mor,Bihar,92.0,143.89402697495183,76.80485549132932,16.508474576271194,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705526 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
118,705437,Manoharabad-Kothapalli New Rail Line [151 km],South Central Railway [SCR] - II,Telangana,72.02,264.9491379310345,164.94913793103447,6.312584209108131,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705437 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
119,705375,Koderma-Tilaiya 68 km,CAO/Con/South/MHX ECR mor,"Multi-States (Bihar, Jharkhand)",90.0,139.5467404674047,53.098382533825415,18.17860924814686,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705375 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
120,707021,Establishment of new GMC Koderma,"Medical Education, Ministry of Health and Family Welfare",Jharkhand,40.0,108.4,74.90104000000002,6.069078947368512,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 707021 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
121,705514,Jarapaada-Budhapank with flyover at Talcher Road - 3rd & 4th line 47 44 km,CAO/C/ECOR ECoR mor,Odisha,25.0,75.85700000000001,6.931739999999855,380.6137855579869,75,CRITICAL,"['Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.']",Project 705514 is classified as CRITICAL risk because the projected completion date exceeds the planned schedule and expenditure is high relative to the physical progress achieved.
122,705613,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km],South Central Railway [SCR] - II,"Multi-States (Maharashtra, Telangana)",94.8,160.10905587668594,60.109055876685936,17.120106171201062,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705613 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
123,705502,Wardha-Balharshah - 3rd line 132 km,CAOC/CR CR mor,Maharashtra,86.0,136.82910624530592,81.82397885493054,6.055412739217369,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705502 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
124,705610,"Renigunta 9.60 km, Wadi 7.60 km & Gooty 3.8 km - Bypass",CAO/C/SCoR SCoR mor,"Multi-States (Andhra Pradesh, Tamil Nadu)",50.0,139.52317880794703,121.08943708609262,6.950718685831616,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705610 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
125,705612,Kazipet-Vijayawada 3rd line with electrification [220 km],South Central Railway [SCR] - II,"Multi-States (Andhra Pradesh, Telangana)",95.02,265.873527905786,165.87352790578598,12.6400833984884,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705612 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
126,705500,Wardha Sevagram-Nagpur - 3rd line 76.3 km,CAOC/CR CR mor,Maharashtra,88.0,154.8590792933595,54.8590792933595,5.708131394722673,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705500 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
127,706965,Establishment of new GMC Saran [Chhapara],"Medical Education, Ministry of Health and Family Welfare",Bihar,0.0,60.0,6.38661375661375,151680.55190538763,75,CRITICAL,"['Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.']",Project 706965 is classified as CRITICAL risk because the projected completion date exceeds the planned schedule and expenditure is high relative to the physical progress achieved.
128,705359,Talcher-Bimlagarh 154 km,CAO/C/ECOR ECoR mor,Odisha,56.0,112.24118257261412,108.2804875518674,18.93839329719065,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705359 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
129,400247,"Kalinarayanpur-Krishnanagar with Krishnanagar-Shantipur-Nabadwipghat - GC, Krishnanagar-Chartala, MM for Krishnanagar-Chapra-NL, Naihati-Ranaghat-3rd line, Nabadwipghat-Nabadwipdham upto BB loop 9.58 km, Ranaghat-Lalgola- strengthening bridge No.2",CAOC/ER ER mor,West Bengal,49.0,92.57000000000001,87.90557000000014,5.529487842731476,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 400247 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
130,705457,Ratlam-Mhow-Khandwa-Akola 472.64 km including material modification for Fatehabad-Chandrawati Ganj-Ujjain 22.96 km and Rau-DADN doubling 9.40 km,CAOCWR WR mor,"Multi-States (Madhya Pradesh, Maharashtra)",75.0,304.63637735849056,466.8140981132068,5.917137809187053,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705457 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
131,705373,Fatuah-Islampur incl. material modification for extension of new line from Neora to Daniawan Daniawan to Biharsharif Biharsharif to Barbigha Barbigha to Sheikhpura,CAO/Con/South/MHX ECR mor,Bihar,95.0,206.50237610319078,108.8978343516632,14.968086368489612,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705373 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
132,705504,Daund - Manmad 247.50 km,CAOC/CR CR mor,Maharashtra,95.0,153.3467546257814,66.81929783257348,11.345187475840715,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705504 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
133,705764,Nimach-Badi Sadri NL Project 48 km,CAOC/NWR NWR mor,"Multi-States (Madhya Pradesh, Rajasthan)",60.0,116.59797979797979,61.025232323232274,10.907894736842028,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705764 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
134,705505,Wardha-Nagpur - 4th line 78.70 km,CAOC/CR CR mor,Maharashtra,88.0,170.93659377694175,85.72007210596406,6.827697262479875,75,CRITICAL,"['Predicted cost overrun is high.', 'Expenditure is high compared with physical progress.']",Project 705505 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline and expenditure is high relative to the physical progress achieved.
135,619167,4 Laning with PS of Pathrapalli-Katghora km 53.3 to km 92.6 Pkg-II of Bilaspur Kathghora,NHAI,Chhattisgarh,93.1,98.69957230377992,37.11781296959871,192.8397260273973,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 619167 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
136,604853,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II, Faridabad",Indian Oil Corporation Limited [IOCL],Haryana,65.4,84.22789380965318,40.01702936974675,128.86004691165002,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 604853 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
137,618458,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-15 Ch. 419.000 to Ch.427.300 [Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village],NHAI,Rajasthan,98.28,82.54361938447603,26.388552203075434,99.781181619256,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618458 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
138,400097,Sardar Sarovar CADWM Project,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",Gujarat,90.3,98.71001401898934,26.15587762059534,237.4743326488706,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 400097 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
139,618527,Six Laning of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada - Gundugolanu Section from km. 30.00 to km. 47.881 Pkg-IV,National Highways Authority of India [NHAI],Andhra Pradesh,99.92,72.20924684195987,42.33571912905931,93.10722100656454,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618527 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
140,619096,Goa / Karnataka Km.93.700 to Kundapur Km.283.30,NHAI,Karnataka,97.94,112.43768693918246,21.399940422634494,421.9513574660635,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 619096 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
141,619073,4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],NHAI,Karnataka,99.2,103.75339596582027,35.50585851533681,175.17671232876694,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 619073 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
142,618605,Thuravoor Thekku-Paravoor,NHAI,Kerala,81.49,87.35172648551392,24.38807281770905,105.16830601092902,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618605 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
143,619060,"Construction of Balance Work of 4-Laning of the Section from Jhanji to Demow of NH- 37 Old from Km 514.800 to Km 534.800 20.000 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-III Road Works",NHIDCL,Assam,72.0,16.41379710481274,48.16129500159546,114.3671641791045,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 619060 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
144,618496,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],NHAI,Jammu and Kashmir,94.14,67.99069011703224,20.184089761324422,100.4418604651161,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618496 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
145,618502,Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village - Vejallka Village],National Highways Authority of India [NHAI],Gujarat,100.0,100.8584509729111,22.393029236791243,117.6223744292236,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618502 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
146,400102,Sri Ram Sagar Project Stage - II,Irrigation and CAD-TG,Telangana,97.0,131.96989662152066,36.22688927227516,44.87586335635616,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400102 is classified as HIGH risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
147,618552,Development of 6L Greenfield Jalandhar Bypass starting from Kahlwan NH-03 ending at Kang Sahbu NH-703 via Sarmastpur NH-44 - Madara NH-03 - Khajurla NH-44,NHAI,Punjab,56.7,71.34667548038568,22.264388776184976,118.18057455540344,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618552 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
148,618580,Gohana - Sonipat PKG-2,NHAI,Haryana,97.86,96.12172726631172,36.963326563737546,202.7369863013702,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618580 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
149,618578,6L Access Controlled Highway from DND Maharani Bagh - Jn. with Jaitpur - Pushta Road of NH-148NA from km. 0.00 to km. 9.00 in NCR,National Highways Authority of India [NHAI],Delhi,98.25,110.11898271820313,28.65565883443273,77.45723684210517,70,HIGH,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.']",Project 618578 is classified as HIGH risk because the predicted total cost is significantly above the baseline and the projected completion date exceeds the planned schedule.
